Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-07-04,6873.78,6873.78,6794.96,6794.96,2979741
2011-07-05,6835.96,6847.28,6835.96,6841.66,3329318
2011-07-06,6810.32,6821.41,6810.32,6813.04,2986598
2011-07-07,6885.79,6935.58,6885.79,6935.58,3492202
2011-07-08,6889.19,6889.19,6798.08,6836.52,8100641
2011-07-11,6773.39,6773.39,6685.68,6685.68,3996158
2011-07-12,6615.07,6696.43,6615.07,6696.43,7862827
2011-07-13,6726.69,6803.38,6726.69,6803.38,4765544
2011-07-14,6741.47,6741.47,6714.2,6714.2,2537554
2011-07-15,6683.19,6708.17,6683.19,6708.17,4292366
2011-07-18,6610.19,6610.19,6529.65,6529.65,4935217
2011-07-19,6610.21,6610.21,6553.63,6553.63,5326968
2011-07-20,6629.59,6664.4,6629.59,6659.6,5003479
2011-07-21,6586.78,6781.76,6586.78,6781.76,7387030
2011-07-22,6765.14,6765.14,6722.16,6764.16,3463130
2011-07-25,6722.6,6722.6,6696.91,6715.57,2958923
2011-07-26,6657.58,6657.58,6642.37,6642.37,6228014
2011-07-27,6617.16,6617.16,6541.23,6541.23,2682118
2011-07-28,6501.94,6560.42,6497.95,6560.42,7803862
2011-07-29,6524.2,6614.05,6501.58,6614.05,9095762
2011-08-01,6671.03,6671.03,6555.57,6555.57,5280157
2011-08-02,6485.37,6485.37,6438.06,6438.06,5825409
2011-08-03,6357.67,6357.67,6173.98,6173.98,10608253
2011-08-04,6114.52,6159.19,6012.57,6012.57,12479171
2011-08-05,5923.51,6024.17,5909.33,5909.33,11271157
2011-08-08,5853.18,5853.18,5800.82,5800.82,11213086
2011-08-09,5601.59,5685.67,5569.23,5569.23,13123599
2011-08-10,5633.66,5633.66,5222.29,5222.29,15603371
2011-08-11,5199.66,5605.75,5199.66,5605.75,19164952
2011-08-12,5663.9,5719.4,5663.9,5719.4,12764375
2011-08-16,5635.1,5820.71,5635.1,5820.71,9027919
2011-08-17,5785.1,5785.1,5771.67,5780.07,10369442
2011-08-18,5525.95,5525.95,5376.11,5376.11,9093991
2011-08-19,5247.81,5439.45,5247.81,5439.45,7888908
2011-08-22,5484.97,5521.47,5484.97,5502.66,4204412
2011-08-23,5538.93,5564.98,5493.11,5564.98,5125710
2011-08-24,5482.81,5557.36,5482.81,5557.36,2984906
2011-08-25,5590.75,5623.98,5590.75,5598.08,7270894
2011-08-26,5614.39,5626.67,5543.54,5626.67,4480976
2011-08-29,5667.72,5715.25,5667.72,5715.25,2921152
2011-08-30,5761.28,5839.4,5761.28,5839.4,5121457
2011-08-31,5935.01,6046.38,5935.01,6046.38,9878601
2011-09-01,5837.65,5920.8,5837.65,5916,6932079
2011-09-02,5716.44,5722.94,5699.67,5722.94,6956181
2011-09-05,5552.51,5552.51,5428.51,5428.51,4281621
2011-09-06,5522.64,5522.64,5408.27,5423.35,7363862
2011-09-07,5554.76,5623.09,5554.76,5623.09,5327236
2011-09-08,5677.4,5677.4,5527.53,5563.46,5890428
2011-09-09,5393.83,5393.83,5219.95,5219.95,7018368
2011-09-12,5018.28,5018.28,4944.19,4944.19,10292366
2011-09-13,4966.77,5071.7,4966.77,5039.95,8694765
2011-09-14,5055.97,5106.97,5055.97,5100.15,7927351
2011-09-15,5184.93,5288.73,5184.93,5274.75,8663947
2011-09-16,5349.46,5384.6,5330.12,5330.12,8746008
2011-09-19,5164.78,5236.91,5122.34,5236.91,7163617
2011-09-20,5296.12,5466.65,5296.12,5434.26,9031245
2011-09-21,5445.42,5451.11,5399.9,5399.9,5344302
2011-09-22,5161.88,5161.88,4995.74,4995.74,6720513
2011-09-23,4979.19,5001.08,4909.41,5001.08,8859696
2011-09-26,5150.47,5160.59,5129.28,5129.28,8296159
2011-09-27,5321.6,5390.07,5321.6,5389.5,10308519
2011-09-28,5460.31,5516.81,5381.78,5381.78,15996443
2011-09-29,5485.99,5559.01,5475.92,5475.92,12161587
2011-09-30,5406.34,5455.82,5331.64,5455.82,9569391
2011-10-03,5296.53,5371.9,5294.14,5371.9,6079860
2011-10-04,5229.44,5248.45,5222.6,5248.45,6141453
2011-10-05,5350.71,5425.53,5350.71,5425.53,8168288
